Broecker,Goddard,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Thiele,Key,Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joos,Sarmiento,Siegenthaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuttle,Wroblewski,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joos,Siegenthaler,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Orr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najjar,Sarmiento,Toggweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Orr,Siegenthaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Sundquist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Siegenthaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orr,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Slater,Fasham,Ducklow,Toggweiler,Evans,,,,,,,,,,,,,,,,,,,,,,,,,
Fasham,Sarmiento,Slater,Ducklow,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
Siegenthaler,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slater,Sarmiento,Fasham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murnane,Cochran,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Bender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaffer,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Le Quere,Pacala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong,Sarmiento,Slater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joos,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Murnane,Le Quere,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joos,Bruno,Fink,Siegenthaler,Stocker,Le Quere,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,
Gruber,Sarmiento,Stocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Le Quere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michaels,Olson,Sarmiento,Ammerman,Fanning,Jahnke,Knap,Lipshultz,Prospero,,,,,,,,,,,,,,,,,,,,,,
Gruber,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Hughes,Stouffer,Manabe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan,Gloor,Mahlman,Pacala,Sarmiento,Takahashi,Tans,,,,,,,,,,,,,,,,,,,,,,,,
Sabine,Key,Johnson,Millero,Poisson,Sarmiento,Wallace,Winn,,,,,,,,,,,,,,,,,,,,,,,
Fan,Gloor,Mahlman,Pacala,Sarmiento,Takahashi,Tans,,,,,,,,,,,,,,,,,,,,,,,,
Murnane,Sarmiento,Le Quere,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloor,Fan,Pacala,Sarmiento,Ramonet,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan,Sarmiento,Gloor,Pacala,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan,Blaine,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murnane,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloor,Fan,Pacala,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suntharalingham,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Monfray,Maier-Reimer,Aumont,Murnane,Orr,,,,,,,,,,,,,,,,,,,,,,,,,
Suntharalingham,Sarmiento,Toggweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orr,Maier-Reimer,Mikolajewicz,Monfray,Sarmiento,Toggweiler,Taylor,Palmer,Gruber,Sabine,Le Quere,Key,Boutin,,,,,,,,,,,,,,,,,,
Deutsch,Gruber,Key,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacala,Hurtt,Baker,Peylin,Houghton,Birdsey,Heath,Sundquist,Stallard,Ciais,Moorcroft,Caspersen,Shevliakova,Moore,Kohlmaier,Holland,Gloor,Harmon,Fan,Sarmiento,Goodale,Schimel,Field,,,,,,,,
Gloor,Gruber,Hughes,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruber,Gloor,Fan,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnanadesikan,Slater,Gruber,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doney,Kleypas,Sarmiento,Falkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruber,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurney,Law,Denning,Rayner,Baker,Bousquet,Bruhwiler,Chen,Ciais,Fan,Fung,Gloor,Heimann,Higuchi,John,Maki,Maksyutov,Masarie,Peylin,Prather,Pak,Runderson,Sarmiento,Taguchi,Takahashi,Yuen,,,,,
Dutay,Bullister,Doney,Orr,Najjar,Caldeira,Campin,Drange,Follows,Gao,Gruber,Hecht,Ishida,Joos,Lindsay,Madec,Maier-Reimer,Marshall,Matear,Monfray,Mouchet,Plattner,Sarmiento,Schlitzer,Slater,Totterdell,Weirig,Yamanaka,Yool,,
Brzezinski,Pride,Franck,Sigman,Sarmiento,Matsumoto,Gruber,Rau,Coale,,,,,,,,,,,,,,,,,,,,,,
Matsumoto,Sarmiento,Brzezinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Gruber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iglesias-Rodriguez,Armstrong,Feely,Hood,Kleypas,Milliman,Sabine,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,
Peylin,Baker,Sarmiento,Ciais,Bousquet,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Dunne,Gnanadesikan,Key,Matsumoto,Slater,,,,,,,,,,,,,,,,,,,,,,,,,
Gloor,Gruber,Sarmiento,Sabine,Feely,Rodenbeck,,,,,,,,,,,,,,,,,,,,,,,,,
McNeil,Matear,Key,Bullister,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Toggweiler,Gnanadesikan,Carson,Murnane,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Toggweiler,Murnane,Carson,Gnanadesikan,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnanadesikan,Sarmiento,Slater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurney,Law,Denning,Rayner,Baker,Bousquet,Bruhwiler,Chen,Ciais,Fan,Fung,Gloor,Heimann,Higuchi,John,Kowalczyk,Maki,Maksyutov,Peylin,Prather,Pak,Sarmiento,Taguchi,Takahashi,Yuen,,,,,,
Gao,Fan,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. J. Watson,Orr,Aumont,Caldeira,Campin,Doney,Drange,Follows,Gao,Gnanadesikan,Gruber,Ishida,Joos,Key,Lindsay,Louanchi,Maier-Reimer,Matear,Monfray,Mouchet,Najjar,Plattner,Sabine,Sarmiento,Schlitzer,Slater,Totterdell,Weirig,Wickett,Yamanaka,Yool
Sarmiento,Gruber,Brzezinski,Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsumoto,Sarmiento,Key,Aumont,Bullister,Caldeira,Campin,Doney,Drange,Dutay,Follows,Gao,Gnanadesikan,Gruber,Ishida,Joos,Lindsay,Maier-Reimer,Marshall,Matear,Monfray,Mouchet,,,,,,,,,
Mignone,Sarmiento,Slater,Gnanadesikan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenblatt,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonds,Joos,Nakicenovic,Richels,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Slater,Barber,Bopp,Doney,Hirst,Kleypas,Matear,Mikolajewicz,Monfray,Soldatov,Spall,Stouffer,,,,,,,,,,,,,,,,,,
Marinov,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doney,Lindsay,Caldeira,Campin,Drange,Dutay,Follows,Gao,Gnanadesikan,Gruber,Ishida,Joos,Madec,Maier-Reimer,Marshall,Matear,Monfray,Mouchet,Najjar,Orr,Plattner,Sarmiento,Schlitzer,Slater,Totterdell,Weirig,Yamanaka,Yool,,,
Gnanadesikan,Dunne,Key,Matsumoto,Sarmiento,Slater,Swathi,,,,,,,,,,,,,,,,,,,,,,,,
Orr,Fabry,Aumont,Bopp,Doney,Feely,Gnanadesikan,Gruber,Ishida,Joos,Key,Lindsay,Maier-Reimer,Matear,Monfray,Mouchet,Majjar,Plattner,Rodgers,Sabine,Sarmiento,Schlitzer,Slater,Totterdell,Weirig,Yamanaka,Yool,,,,
Dunne,Armstrong,Gnanadesikan,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mignone,Gnanadesikan,Sarmiento,Slater,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikaloff-Fletcher,Gruber,Jacobson,Doney,Dutkiewicz,Gerber,Follows,Joos,Lindsay,Menemenlis,Mouchet,Muller,Sarmiento,,,,,,,,,,,,,,,,,,
Patra,Gurney,Maksyutov,Nakazawa,Baker,Bousquet,Bruhwiler,Ciais,Fan,Fun,Gloor,Heimann,Higuchi,Law,Maki,Pak,Peylin,Prather,Rayner,Sarmiento,Taguchi,Takahashi,Yuen,,,,,,,,
Jin,Gruber,Dunne,Sarmiento,Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,
Marinov,Gnanadesikan,Toggweiler,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crevoisier,Gloor,Gloaguen,Horowitz,Sarmiento,Sweeney,Tans,,,,,,,,,,,,,,,,,,,,,,,,
Behrenfeld,O'Malley,Siegel,McClain,Sarmiento,Feldman,Milligan,Falkowski,Letelier,Boss,,,,,,,,,,,,,,,,,,,,,
Deutsch,Sarmiento,Sigman,Gruber,Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikaloff-Fletcher,Gruber,Jacobson,Gloor,Doney,Dutkiewicz,Gerber,Follows,Joos,Lindsay,Menemenlis,Mouchet,Muller,Sarmiento,,,,,,,,,,,,,,,,,
Jacobson,Mikaloff-Fletcher,Gruber,Sarmiento,Gloor,TransCom,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobson,Mikaloff-Fletcher,Gruber,Sarmiento,Gloor,TransCom,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Simeon,Gnanadesikan,Gruber,Key,Schlitzer,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd,Jickells,Law,Blain,Boyle,Buessler,Coale,Cullen,de Baar,Follows,Harvey,Lancelot,Levasseur,Owens,Pollard,Rivkin,Sarmiento,Schoemann,Smetacek,Takeda,Tsuda,Turner,A. J. Watson,,,,,,,,
Sweeney,Gloor,Jacobson,Key,McKinley,Sarmiento,Wanninkhof,,,,,,,,,,,,,,,,,,,,,,,,
Najjar,Jin,Louanchi,Aumont,Caldeira,Doney,Dutay,Follows,Gruber,Joos,Lindsay,Maier-Reimer,Matear,Matsumoto,Monfray,Mouchet,Orr,Plattner,Sarmiento,Schlitzer,Slater,Weirig,Yamanaka,Yool,,,,,,,
Field,Sarmiento,Hales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunne,Sarmiento,Gnanadesikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mignone,Socolow,Sarmiento,Oppenheimer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsumoto,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moore,Sarmiento,Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodgers,Sarmiento,Aumont,Crevoisier,Montegut,Metzl,,,,,,,,,,,,,,,,,,,,,,,,,
Marinov,Gnanadesikan,Sarmiento,Toggweiler,Follows,Mignone,,,,,,,,,,,,,,,,,,,,,,,,,
Marinov,Follows,Gnanadesikan,Sarmiento,Slater,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheung,Lam,Sarmiento,Kearney,R. Watson,Pauly,,,,,,,,,,,,,,,,,,,,,,,,,
Gruber,Gloor,Doney,Mikaloff-Fletcher,Dutkiewicz,Follows,Gerber,Jacobson,Joos,Lindsay,Menemenlis,Mouchet,Muller,Sarmiento,Takahashi,,,,,,,,,,,,,,,,
Henson,Dunne,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Christensen,Walters,Ahrens,Alder,Buszowski,L. B. Christensen,Cheung,Dunne,Froese,Karpouzi,Kaschner,Kearney,Lai,Lam,Palomares,Petters-Mason,Piroddi,Sarmiento,Steenbeek,Sumaila,R. Watson,Zeller,Pauly,,,,,,,,
Kwon,Primeau,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodgers,Key,Gnanadesikan,Sarmiento,Aumont,Bopp,Doney,Dunne,Glover,Ishida,Ishii,Jacobson,Lo Monaco,Maier-Reimer,Mercier,Metzel,Perez,Rios,Wanninkhof,Wetzel,Winn,Yamanaka,,,,,,,,,
Le Quere,Raupach,Canadell,Marland,Bopp,Ciais,Conway,Doney,Feely,Foster,Friedlingstein,Gurney,Houghton,House,Huntingford,Levy,Lomas,Majkut,Metzl,Ometto,Peters,Prentice,Randerson,Running,Sarmiento,Schuster,Sitch,Takahashi,Viovy,van der Werf,Woodward
Cheung,Lam,Sarmiento,Kearney,R. Watson,Zeller,Pauly,,,,,,,,,,,,,,,,,,,,,,,,
Henson,Sarmiento,Dunne,Bopp,Lima,Doney,John,Beaulieu,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Gloor,Gruber,Beaulieu,Jacobson,Mikaloff-Fletcher,Pacala,Rodgers,,,,,,,,,,,,,,,,,,,,,,,
Gloor,Sarmiento,Gruber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchi,Sarmiento,Gnanadesikan,Key,Schlosser,Newton,,,,,,,,,,,,,,,,,,,,,,,,,
Crevoisier,Sweeney,Gloor,Sarmiento,Tans,,,,,,,,,,,,,,,,,,,,,,,,,,
Palter,Sarmiento,Gnanadesikan,Simeon,Slater,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmiento,Slater,Dunne,Gnanadesikan,Hiscock,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock,Alexander,Bond,Brander,Cheung,Curchitser,Delworth,Dunne,Griffies,Haltuch,Hare,Hallowed,Lehodey,Levin,Link,Rose,Rykaczewski,Sarmiento,Stouffer,Schwing,Vecchi,Werner,,,,,,,,,
Cheung,Dunne,Sarmiento,Pauly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downes,Budnick,Sarmiento,Farneti,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galbraith,Kwon,Gnanadesikan,Rodgers,Griffies,Bianchi,Dunne,Sarmiento,Simeon,Slater,Wittenberg,Held,,,,,,,,,,,,,,,,,,,
Kwon,Sarmiento,Toggweiler,DeVries,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palter,Lozier,Sarmiento,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodgers,Mikaloff-Fletcher,Bianchi,Beaulieu,Galbraith,Gnanadesikan,Hogg,Iudicone,Lintner,Naegler,Reimer,Sarmiento,Slater,,,,,,,,,,,,,,,,,,
Downes,Gnanadesikan,Griffies,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaulieu,Sarmiento,Mikaloff-Fletcher,Chen,Medvigy,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaulieu,Chen,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchi,Dunne,Sarmiento,Galbraith,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearney,Stock,Aydin,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwon,Hain,Sigman,Galbraith,Sarmiento,Toggweiler,,,,,,,,,,,,,,,,,,,,,,,,,
Duteil,Koeve,Oschlies,Aumont,Bianchi,Bopp,Galbraith,Matear,Moore,Sarmiento,Segschneider,,,,,,,,,,,,,,,,,,,,
Cheung,Sarmiento,Dunne,Frolicher,Lam,Palomares,R. Watson,Pauly,,,,,,,,,,,,,,,,,,,,,,,
Beaulieu,Henson,Sarmiento,Dunne,Doney,Rykaczewski,Bopp,,,,,,,,,,,,,,,,,,,,,,,,
Frolicher,Joos,Raible,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siegel,Behrenfeld,Maritorena,McClain,Antoine,Bailey,Bontempi,Boss,Dierssen,Doney,Eplee,Evans,Feldman,Fields,Franz,Kuring,Mengelt,Nelson,Patt,Robinson,Sarmiento,Swan,Werdell,Westberry,Wilding,Yoder,,,,,
Winton,Griffies,Samuels,Sarmiento,Frolicher,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwon,Downes,Sarmiento,Farneti,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,
Plancherel,Rodgers,Key,Jacobson,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchi,Stock,Galbraith,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osterblom,Merrie,Metian,Boonstra,Blenkner,J. Watson,Rykaczewski,Ota,Sarmiento,V. Christensen,Birnbaum,Gustavsson,Humborg,Morth,Mueller-Karulis,Schluter,Tomczak,Troell,Folke,,,,,,,,,,,,
Palter,Marinov,Sarmiento,Gruber,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinsky,Worm,Fogarty,Sarmiento,Levin,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheung,Pauly,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearney,Stock,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frolicher,Winton,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardello,Marinov,Palter,Sarmiento,Galbraith,Slater,,,,,,,,,,,,,,,,,,,,,,,,,
Lichstein,Golaz,Malyshev,Shevliakova,Zhang,Sheffiled,Birdsey,Sarmiento,Pacala,,,,,,,,,,,,,,,,,,,,,,
Majkut,Sarmiento,Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raupach,Gloor,Sarmiento,Canadell,Gasser,Houghton,Le Quere,Trudinger,,,,,,,,,,,,,,,,,,,,,,,
Majkut,Carter,Frolicher,Dufour,Rodgers,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,
de Souza,Slater,Dunne,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter,Toggweiler,Key,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwon,Kim,Primeau,Moore,Cho,DeVries,Sarmiento,Charette,Cho,,,,,,,,,,,,,,,,,,,,,,
Bernadello,Marinov,Palter,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mislan,Stock,Dunne,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frolicher,Sarmiento,Paynter,Dunne,Krasting,Winton,,,,,,,,,,,,,,,,,,,,,,,,,
Morrison,Frolicher,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galbraith,Kwon,Bianchi,Hain,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
de Souza,Slater,Hain,Brzezinski,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanowski,Hallberg,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Watson,Stock,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mislan,Dunne,Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dufour,Griffies,de Souza,Frenger,Morrison,Anderson,Slater,,,,,,,,,,,,,,,,,,,,,,,,
Anderegg,Ballantyne,W. K. Smith,Majkut,Rabin,Beaulieu,Birdsey,Dunne,Houghton,Myneni,Pan,Sarmiento,Serota,Shevliakova,Tans,Pacala,,,,,,,,,,,,,,,
